lang,url,stars,description
C,https://github.com/ntop/nDPI,"3,865",Open Source Deep Packet Inspection Software Toolkit
C,https://github.com/SoftEtherVPN/SoftEtherVPN,"11,740",Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available athttps://github.com/SoftEtherVPN/SoftEtherVPN_Stable.
C,https://github.com/zephyrproject-rtos/zephyr,"11,052","Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures."
C,https://github.com/asg017/sqlite-vec,"4,443",A vector search SQLite extension that runs anywhere!
C,https://github.com/pgvector/pgvector,"12,991",Open-source vector similarity search for Postgres
C,https://github.com/netero1010/EDRSilencer,"1,482",A tool uses Windows Filtering Platform (WFP) to block Endpoint Detection and Response (EDR) agents from reporting security events to the server.
C,https://github.com/RediSearch/RediSearch,"5,549","A query and indexing engine for Redis, providing secondary indexing, full-text search, vector similarity search and aggregations."
C,https://github.com/ValdikSS/GoodbyeDPI,"25,669",GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows)
C,https://github.com/BasedHardware/omi,"3,746",AI wearables
C,https://github.com/sonic-net/sonic-buildimage,747,Scripts which perform an installable binary image build for SONiC
C,https://github.com/78/xiaozhi-esp32,595,Build your own AI friend
C,https://github.com/redis/redis,"67,380","Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
C,https://github.com/espeak-ng/espeak-ng,"4,304",eSpeak NG is an open source speech synthesizer that supports more than hundred languages and accents.
C,https://github.com/karpathy/llama2.c,"17,577",Inference Llama 2 in one file of pure C
C,https://github.com/quickjs-ng/quickjs,"1,122","QuickJS, the Next Generation: a mighty JavaScript engine"
C,https://github.com/bmax121/KernelPatch,710,Patching and hooking the Linux kernel with only a stripped Linux kernel image.
C,https://github.com/TheAlgorithms/C,"19,241","Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes."
C#,https://github.com/dotnet/machinelearning,"9,072",ML.NET is an open source and cross-platform machine learning framework for .NET.
C#,https://github.com/openai/openai-dotnet,"1,569",The official .NET library for the OpenAI API
C#,https://github.com/mcmonkeyprojects/SwarmUI,"1,571","SwarmUI (formerly StableSwarmUI), A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
C#,https://github.com/babalae/better-genshin-impact,"5,604",📦BetterGI · 更好的原神 - 自动拾取 | 自动剧情 | 全自动钓鱼(AI) | 全自动七圣召唤 | 自动伐木 | 自动刷本 | 自动采集 - UI Automation Testing Tools For Genshin Impact
C#,https://github.com/dotnet-architecture/eShopOnWeb,"10,238","Sample ASP.NET Core 8.0 reference application, powered by Microsoft, demonstrating a layered application architecture with monolithic deployment model. Download the eBook PDF from docs folder."
C#,https://github.com/mRemoteNG/mRemoteNG,"8,934","mRemoteNG is the next generation of mRemote, open source, tabbed, multi-protocol, remote connections manager."
C#,https://github.com/Unity-Technologies/ml-agents,"17,326",The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.
C#,https://github.com/NimblePros/eShopOnWeb,100,"Sample ASP.NET Core 9.0 reference application, powered by Microsoft, demonstrating a domain-centric application architecture with monolithic deployment model. Download the eBook PDF from docs folder."
C#,https://github.com/microsoft/azure-pipelines-agent,"1,723",Azure Pipelines Agent 🚀
C#,https://github.com/SciSharp/LLamaSharp,"2,749",A C#/.NET library to run LLM (🦙LLaMA/LLaVA) on your local device efficiently.
C#,https://github.com/Azure-Samples/cognitive-services-speech-sdk,"2,991",Sample code for the Microsoft Cognitive Services Speech SDK
C#,https://github.com/notscuffed/repkg,"2,195",Wallpaper engine PKG extractor/TEX to image converter
C#,https://github.com/codeproject/CodeProject.AI-Server,698,"CodeProject.AI Server is a self contained service that software developers can include in, and distribute with, their applications in order to augment their apps with the power of AI."
C#,https://github.com/LykosAI/StabilityMatrix,"4,973",Multi-Platform Package Manager for Stable Diffusion
C#,https://github.com/QuestPDF/QuestPDF,"12,182","QuestPDF is a modern open-source .NET library for PDF document generation. Offering comprehensive layout engine powered by concise and discoverable C# Fluent API. Easily generate PDF reports, invoices, exports, etc."
C#,https://github.com/microsoft/semantic-kernel,"22,290",Integrate cutting-edge LLM technology quickly and easily into your apps
C#,https://github.com/Babyhamsta/Aimmy,913,Universal Second Eye for Gamers with Impairments (Universal AI Aim Aligner - ONNX/YOLOv8 - C#)
C#,https://github.com/microsoft/PowerApps-Samples,"1,552","Sample code for Power Apps, including Dataverse, model-driven apps, canvas apps, Power Apps component framework, portals, and AI Builder."
C#,https://github.com/microsoft/kernel-memory,"1,630","RAG architecture: index and query any data using LLM and natural language, track sources, show citations, asynchronous memory patterns."
C#,https://github.com/icsharpcode/ILSpy,"21,753",".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!"
C#,https://github.com/Tyrrrz/DiscordChatExporter,"7,838",Exports Discord chat logs to a file
C++,https://github.com/facebookresearch/habitat-sim,"2,641","A flexible, high-performance 3D simulator for Embodied AI research."
C++,https://github.com/microsoft/onnxruntime,"14,970","ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator"
C++,https://github.com/oneapi-src/oneDNN,"3,618",oneAPI Deep Neural Network Library (oneDNN)
C++,https://github.com/k2-fsa/sherpa-onnx,"3,817","Speech-to-text, text-to-speech, speaker diarization, and VAD using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, HarmonyOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript, Flutter, Object Pascal, Lazarus, Rust"
C++,https://github.com/ggerganov/whisper.cpp,"36,230",Port of OpenAI's Whisper model in C/C++
C++,https://github.com/bulletphysics/bullet3,"12,611","Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc."
C++,https://github.com/tensorflow/tflite-micro,"1,955",Infrastructure to enable deployment of ML models to low-power resource-constrained embedded targets (including microcontrollers and digital signal processors).
C++,https://github.com/pytorch/executorch,"2,216","On-device AI across mobile, embedded and edge for PyTorch"
C++,https://github.com/NVIDIA/cuda-quantum,540,C++ and Python support for the CUDA Quantum programming model for heterogeneous quantum-classical workflows
C++,https://github.com/microsoft/LightGBM,"16,675","A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks."
C++,https://github.com/OSGeo/gdal,"4,917",GDAL is an open source MIT licensed translator library for raster and vector geospatial data formats.
C++,https://github.com/AaronFeng753/Waifu2x-Extension-GUI,"13,304","Video, Image and GIF upscale/enlarge(Super-Resolution) and Video frame interpolation. Achieved with Waifu2x, Real-ESRGAN, Real-CUGAN, RTX Video Super Resolution VSR, SRMD, RealSR, Anime4K, RIFE, IFRNet, CAIN, DAIN, and ACNet."
C++,https://github.com/apache/brpc,"16,558","brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC""."
C++,https://github.com/MariaDB/server,"5,689","MariaDB server is a community developed fork of MySQL server. Started by core members of the original MySQL team, MariaDB actively works with outside developers to deliver the most featureful, stable, and sanely licensed open SQL server in the industry."
C++,https://github.com/lich0821/WeChatFerry,"4,322",微信机器人底层框架，可接入Gemini、ChatGPT、ChatGLM、讯飞星火、Tigerbot等大模型。WeChat Robot Hook.
C++,https://github.com/PaddlePaddle/Paddle,"22,290",PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
C++,https://github.com/iree-org/iree,"2,888",A retargetable MLIR-based machine learning compiler and runtime toolkit.
C++,https://github.com/rhasspy/piper,"6,626","A fast, local neural text to speech system"
C++,https://github.com/openvinotoolkit/openvino,"7,438",OpenVINO™ is an open-source toolkit for optimizing and deploying AI inference
C++,https://github.com/k4yt3x/video2x,"10,826","A machine learning-based lossless video super resolution framework. Est. Hack the Valley II, 2018."
C++,https://github.com/ggerganov/llama.cpp,"69,197",LLM inference in C/C++
C++,https://github.com/ggerganov/ggml,"11,285",Tensor library for machine learning
C++,https://github.com/microsoft/winget-cli,"23,424","WinGet is the Windows Package Manager. This project includes a CLI (Command Line Interface), PowerShell modules, and a COM (Component Object Model) API (Application Programming Interface)."
C++,https://github.com/alibaba/MNN,"8,828","MNN is a blazing fast, lightweight deep learning framework, battle-tested by business-critical use cases in Alibaba"
C++,https://github.com/rl-tools/rl-tools,520,The Fastest Deep Reinforcement Learning Library
C++,https://github.com/NVIDIA/TensorRT,"10,806",NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.
C++,https://github.com/NVIDIA/TensorRT-LLM,"8,890",TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.
C++,https://github.com/tenstorrent/tt-metal,551,"🤘 TT-NN operator library, and TT-Metalium low level kernel programming model."
C++,https://github.com/microsoft/AirSim,"16,523","Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research"
C++,https://github.com/leejet/stable-diffusion.cpp,"3,547",Stable Diffusion and Flux in pure C/C++
C++,https://github.com/mumble-voip/mumble,"6,452","Mumble is an open-source, low-latency, high quality voice chat software."
C++,https://github.com/google-ai-edge/mediapipe,"27,821","Cross-platform, customizable ML solutions for live and streaming media."
C++,https://github.com/tensorflow/tensorflow,"186,828",An Open Source Machine Learning Framework for Everyone
C++,https://github.com/TheAlgorithms/C-Plus-Plus,"30,946","Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes."
C++,https://github.com/microsoft/proxy,"2,148",Proxy: Next Generation Polymorphism in C++
JS,https://github.com/qishibo/AnotherRedisDesktopManager,"30,678","🚀🚀🚀A faster, better and more stable Redis desktop manager [GUI client], compatible with Linux, Windows, Mac."
JS,https://github.com/Mintplex-Labs/anything-llm,"28,621","The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, and more."
JS,https://github.com/dropzone/dropzone,"18,127",Dropzone is an easy to use drag'n'drop library. It supports image previews and shows nice progress bars.
JS,https://github.com/nextcloud/spreed,"1,665","🗨️ Nextcloud Talk – chat, video & audio calls for Nextcloud"
JS,https://github.com/ToolJet/ToolJet,"33,317","Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀"
JS,https://github.com/InternLM/MindSearch,"5,484",🔍 An LLM-based Multi-agent Framework of Web Search Engine (like Perplexity.ai Pro and SearchGPT)
JS,https://github.com/xszyou/Fay,"9,462","Fay is an open-source digital human framework integrating language models and digital characters. It offers retail, assistant, and agent versions for diverse applications like virtual shopping guides, broadcasters, assistants, waiters, teachers, and voice or text-based mobile assistants."
JS,https://github.com/dotnet/eShopSupport,369,A reference .NET application using AI for a customer support ticketing system
JS,https://github.com/songquanpeng/one-api,"20,056","OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI."
JS,https://github.com/huggingface/transformers.js,"12,181","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
JS,https://github.com/poloclub/transformer-explainer,"3,590",Transformer Explained Visually: Learn How LLM Transformer Models Work with Interactive Visualization
JS,https://github.com/wangrongding/wechat-bot,"5,740",🤖一个基于 WeChaty 结合 OpenAi ChatGPT / Kimi / 讯飞等Ai服务实现的微信机器人 ，可以用来帮助你自动回复微信消息，或者管理微信群/好友，检测僵尸粉等...
JS,https://github.com/SillyTavern/SillyTavern,"8,797",LLM Frontend for Power Users.
JS,https://github.com/Dooy/chatgpt-web-midjourney-proxy,"5,263","One UI is all done with chatgpt web, midjourney, gpts,suno,luma,runway,viggle,flux,ideogram,realtime,pika; Simultaneous support Web / PWA / Linux / Win / MacOS platform"
JS,https://github.com/lencx/Noi,"6,602","🚀 Power Your World with AI - Explore, Extend, Empower."
Java,https://github.com/vespa-engine/vespa,"5,848","AI + Data, online.https://vespa.ai"
Java,https://github.com/unitycatalog/unitycatalog,"2,479","Open, Multi-modal Catalog for Data & AI"
Java,https://github.com/tencentmusic/supersonic,"2,421",SuperSonic is the next-generation AI+BI platform that unifies Chat BI (powered by LLM) and Headless BI (powered by semantic layer) paradigms.
Java,https://github.com/spring-projects/spring-ai,"3,393",An Application Framework for AI Engineering
Java,https://github.com/comet-ml/opik,"2,518",Open-source end-to-end LLM Development Platform
Java,https://github.com/YunaiV/ruoyi-vue-pro,"28,312",🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！
Java,https://github.com/googlesamples/mlkit,"3,581",A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS
